scenario,letter,model,dimension,human,llm,diff,abs_diff,status,final
A_2008,A,taide,理解力,2,2,0,0,OK,2.0
A_2008,A,taide,具體性,3,3,0,0,OK,3.0
A_2008,A,taide,風險揭露,1,2,-1,1,OK,1.5
A_2008,A,taide,邏輯連貫性,3,3,0,0,OK,3.0
A_2008,A,taide,時間污染指數,2,3,-1,1,OK,2.5
A_2008,A,taide,Q5_格式服從度,3,3,0,0,OK,3
A_2008,B,claude,理解力,5,5,0,0,OK,5.0
A_2008,B,claude,具體性,5,5,0,0,OK,5.0
A_2008,B,claude,風險揭露,4,5,-1,1,OK,4.5
A_2008,B,claude,邏輯連貫性,4,5,-1,1,OK,4.5
A_2008,B,claude,時間污染指數,3,5,-2,2,OK,3.5
A_2008,B,claude,Q5_格式服從度,5,5,0,0,OK,5
A_2008,C,deepseek,理解力,4,4,0,0,OK,4.0
A_2008,C,deepseek,具體性,4,5,-1,1,OK,4.5
A_2008,C,deepseek,風險揭露,3,4,-1,1,OK,3.5
A_2008,C,deepseek,邏輯連貫性,4,4,0,0,OK,4.0
A_2008,C,deepseek,時間污染指數,1,2,-1,1,OK,1.5
A_2008,C,deepseek,Q5_格式服從度,5,5,0,0,OK,5
A_2008,D,chatgpt,理解力,4,4,0,0,OK,4.0
A_2008,D,chatgpt,具體性,3,4,-1,1,OK,3.5
A_2008,D,chatgpt,風險揭露,3,4,-1,1,OK,3.5
A_2008,D,chatgpt,邏輯連貫性,4,4,0,0,OK,4.0
A_2008,D,chatgpt,時間污染指數,3,4,-1,1,OK,3.5
A_2008,D,chatgpt,Q5_格式服從度,5,5,0,0,OK,5
A_2008,E,gemini,理解力,4,4,0,0,OK,4.0
A_2008,E,gemini,具體性,5,4,1,1,OK,4.5
A_2008,E,gemini,風險揭露,5,4,1,1,OK,4.5
A_2008,E,gemini,邏輯連貫性,4,4,0,0,OK,4.0
A_2008,E,gemini,時間污染指數,2,3,-1,1,OK,2.5
A_2008,E,gemini,Q5_格式服從度,5,5,0,0,OK,5
B_2022,A,taide,理解力,2,2,0,0,OK,2.0
B_2022,A,taide,具體性,1,2,-1,1,OK,1.5
B_2022,A,taide,風險揭露,1,2,-1,1,OK,1.5
B_2022,A,taide,邏輯連貫性,2,2,0,0,OK,2.0
B_2022,A,taide,時間污染指數,2,2,0,0,OK,2.0
B_2022,A,taide,Q5_格式服從度,3,3,0,0,OK,3
B_2022,B,claude,理解力,5,5,0,0,OK,5.0
B_2022,B,claude,具體性,5,5,0,0,OK,5.0
B_2022,B,claude,風險揭露,4,5,-1,1,OK,4.5
B_2022,B,claude,邏輯連貫性,4,5,-1,1,OK,4.5
B_2022,B,claude,時間污染指數,3,5,-2,2,OK,3.5
B_2022,B,claude,Q5_格式服從度,5,5,0,0,OK,5
B_2022,C,deepseek,理解力,4,4,0,0,OK,4.0
B_2022,C,deepseek,具體性,4,5,-1,1,OK,4.5
B_2022,C,deepseek,風險揭露,5,5,0,0,OK,5.0
B_2022,C,deepseek,邏輯連貫性,3,4,-1,1,OK,3.5
B_2022,C,deepseek,時間污染指數,4,4,0,0,OK,4.0
B_2022,C,deepseek,Q5_格式服從度,5,5,0,0,OK,5
B_2022,D,chatgpt,理解力,4,4,0,0,OK,4.0
B_2022,D,chatgpt,具體性,3,4,-1,1,OK,3.5
B_2022,D,chatgpt,風險揭露,4,4,0,0,OK,4.0
B_2022,D,chatgpt,邏輯連貫性,4,4,0,0,OK,4.0
B_2022,D,chatgpt,時間污染指數,3,3,0,0,OK,3.0
B_2022,D,chatgpt,Q5_格式服從度,5,5,0,0,OK,5
B_2022,E,gemini,理解力,4,4,0,0,OK,4.0
B_2022,E,gemini,具體性,5,4,1,1,OK,4.5
B_2022,E,gemini,風險揭露,4,4,0,0,OK,4.0
B_2022,E,gemini,邏輯連貫性,3,4,-1,1,OK,3.5
B_2022,E,gemini,時間污染指數,4,4,0,0,OK,4.0
B_2022,E,gemini,Q5_格式服從度,5,5,0,0,OK,5
C_2024,A,taide,理解力,2,2,0,0,OK,2.0
C_2024,A,taide,具體性,3,3,0,0,OK,3.0
C_2024,A,taide,風險揭露,2,2,0,0,OK,2.0
C_2024,A,taide,邏輯連貫性,1,2,-1,1,OK,1.5
C_2024,A,taide,時間污染指數,3,2,1,1,OK,2.5
C_2024,A,taide,Q5_格式服從度,5,5,0,0,OK,5
C_2024,B,claude,理解力,4,5,-1,1,OK,4.5
C_2024,B,claude,具體性,5,5,0,0,OK,5.0
C_2024,B,claude,風險揭露,4,5,-1,1,OK,4.5
C_2024,B,claude,邏輯連貫性,5,5,0,0,OK,5.0
C_2024,B,claude,時間污染指數,4,5,-1,1,OK,4.5
C_2024,B,claude,Q5_格式服從度,5,5,0,0,OK,5
