Scenario,Model,理解力,具體性,風險揭露,邏輯連貫性,時間污染指數,格式服從度,總分,Notes
A_2008,ChatGPT,,,,,,,"=SUM(C2:H2)",
A_2008,Claude,,,,,,,"=SUM(C3:H3)",
A_2008,Gemini,,,,,,,"=SUM(C4:H4)",
A_2008,Perplexity,,,,,,,"=SUM(C5:H5)",
A_2008,TAIDE,,,,,,,"=SUM(C6:H6)",
B_2022,ChatGPT,,,,,,,"=SUM(C7:H7)",
B_2022,Claude,,,,,,,"=SUM(C8:H8)",
B_2022,Gemini,,,,,,,"=SUM(C9:H9)",
B_2022,Perplexity,,,,,,,"=SUM(C10:H10)",
B_2022,TAIDE,,,,,,,"=SUM(C11:H11)",
C_2024,ChatGPT,,,,,,,"=SUM(C12:H12)",
C_2024,Claude,,,,,,,"=SUM(C13:H13)",
C_2024,Gemini,,,,,,,"=SUM(C14:H14)",
C_2024,Perplexity,,,,,,,"=SUM(C15:H15)",
C_2024,TAIDE,,,,,,,"=SUM(C16:H16)",
